Authors,Title,Year,Source Title,Volume,Issue,Start Page,End Page,Article Number,Abstract,DOI,ORCIDs,ISSN,eISSN,ISBN,Publication Date,DOI Link,Pubmed Id
"Díaz, AC; Martin, SM","Numerical and biomass growth study of Bulimulus bonariensis (Rafinesque, 1833) (Gastropoda: Bulimulidae) under laboratory conditions",2024,PEERJ,12,,,,e16803,"Bulimulus bonariensis is considered a species of relevance to agribusiness, having been declared a pest with indirect damage because of its negative effects on several crops such as soybeans, chickpeas, and corn in central and northern Argentina. The objective of this work was to analyze the growth pattern of a population born under laboratory conditions, to explore population aspects such as survival and mortality, to estimate the age and size at gonadal maturity and first reproduction, and to contribute to the knowledge of the reproductive biology of this gastropod. From the clutches obtained, the basic biologic parameters were calculated and the individuals hatched under laboratory conditions counted and measured every two weeks. The clutches contained an average of 44 eggs, which took about 13.7 days to hatch at a birth rate of 41.82%. The growth pattern in the five clutches was analyzed individually, and the logistic model used was the one with the highest degree of fit to that observed growth pattern, followed by the Gompertz model, and finally the von Bertalanffy model. In addition, the models were applied to the 102 specimens analyzed together as a cohort, where the best fitting model was also proved to be the logistic growth model. A concave type III survival curve was obtained from the horizontal life table. The cohort was reduced by 48% during the first 50 days after birth. Beyond one month of hatching, life expectancy gradually increased and remained high between 65-302 days of life. After day 330, life expectancy decreased and only 13.72% exceeded one year of birth, with an average length of 16.68 mm. The last specimen died after 23 months at a total length of 20.24 mm, and the life expectancy was estimated at almost three years. In addition, it was inferred that gonadal maturity, when these gastropods reach 12 mm of total shell length, is reached after 200 days of life. Therefore, the individuals that are born are able to reproduce for the first time a year after birth, when they have the approximate size of 16.68 mm.",10.7717/peerj.16803,"Diaz, Ana Carolina/0000-0001-8287-7938",2167-8359,,,Jan-25,http://dx.doi.org/10.7717/peerj.16803,38282866
"Zhang, YH; Su, JQ; Li, J; Zhang, Y; Xiao, S; Yu, ZN","Survival and growth of reciprocal crosses between two stocks of the Hong Kong oyster Crassostrea hongkongensis (Lam & Morton, 2003) in southern China",2017,AQUACULTURE RESEARCH,48,5,2344,2354,,"The Hong Kong oyster, Crassostrea hongkongensis, is one of the most economically important and well-known oyster species in southern China. To explore the possibility of improving the performance of the Hong Kong oyster, complete diallel crosses between two oyster stocks, the Zhuhai stock (Z: fast growth line F4) and the Maowei Sea stock (M: resistant line F3), were conducted using pooled gametes. Three replicates, each consisting of two pure stocks (ZZ and MM) and two reciprocal crosses (ZM and MZ), were successfully generated. High fertilization rate and hatching level were observed among all the experimental groups, suggesting that there was no sperm-egg recognition barrier between geographic populations. Reciprocal crosses had higher survival rate compared to the pure stock crosses and the rate of survival increased with progeny growth. Growth heterosis became obvious both in larval and adult stages, and was primarily influenced by the egg origin and mating strategy at the larval stage. Also, the phenotypic traits of all progeny differed amongst the culture sites, suggesting a significant environmental effect. The Zhuhai site was more suitable for oyster aquaculture than the Maowei Sea site. Thus, our results demonstrated that crossbreeding between Zhuhai and Maowei Sea stocks of Hong Kong oyster to produce superior heterosis represents a promising means to improve the fishery yield of this species in southern China.",10.1111/are.13070,"Zhang, Yang/0000-0002-0789-4938",1355-557X,1365-2109,,MAY,http://dx.doi.org/10.1111/are.13070,
"Read, K; Lemay, MA; Boulding, EG",OUTPLANTING DESIGN IMPROVEMENT FOR JUVENILE ABALONE (HALIOTIS KAMTSCHATKANA): THE ADDITION OF COMPLEX SUBSTRATE INCREASES SURVIVAL,2012,JOURNAL OF SHELLFISH RESEARCH,31,1,338,338,,,,,0730-8000,,,APR,,
"Krug, PJ; Riffell, JA; Zimmer, RK",Endogenous signaling pathways and chemical communication between sperm and egg,2009,JOURNAL OF EXPERIMENTAL BIOLOGY,212,8,1092,1100,,"Red abalone (Haliotis rufescens) sperm detect a waterborne chemical cue released by conspecific eggs, and change their swimming behavior to increase the likelihood of fertilization success. Previously, we isolated the natural sperm attractant by bioassay-guided fractionation and high-performance liquid chromatography, and chemically identified it as the free-amino acid L-tryptophan (L-Trp). In the present study, levels of this ecologically meaningful compound were quantified in various abalone tissues, and in freshly spawned eggs. Tryptophan was the least abundant of 19 dissolved free amino acids (DFAAs) in ovary, testis, foot muscle, gill, stomach and hemolymph. As a proportion of the DFAA pool, however, Trp concentrations were significantly elevated in eggs (three-to seven-times higher) relative to all other sampled tissues. Natural rates of Trp release from eggs also were measured and correlated with fertility. Fertilization success peaked during an initial 30 min period (post-spawn), but decreased to nil over the next 50 min. Closely paralleling these events, Trp accumulated in seawater around freshly spawned eggs for the first 45 min (post-spawn) before decaying rapidly from solution. Older eggs stopped releasing Trp approximately when they became infertile, revealing a critical link between gamete physiology and chemical signaling. This apparent negative feedback loop did not arise from tryptophan oxidation, uptake by bacteria in seawater, or a degrading enzyme released by eggs. As a metabolic precursor critical to development of the larval nervous system, Trp could be an honest indicator of egg fitness for prospective sperm suitors. Our results suggest that endogenous signaling pathways have been co-opted for external communication between gametes, as an adaptation to increase reproductive success by promoting sperm navigation towards fertile eggs.",10.1242/jeb.027029,,0022-0949,1477-9145,,Apr-15,http://dx.doi.org/10.1242/jeb.027029,19329742
"Sekino, M; Hara, M",Individual assignment tests proved genetic boundaries in a species complex of Pacific abalone (genus Haliotis),2007,CONSERVATION GENETICS,8,4,823,841,,"We conducted this study to find genetic evidence to distinguish the members of Pacific abalone species complex (Haliotis discus hannai, H. discus discus, H. madaka, and H. gigantea) based on microsatellite DNA markers, illustrating the potential of microsatellites for species-assignment. First, we addressed the transferability of H. discus hannai microsatellites to the three other members of Pacific abalone and five additional species (H. diversicolor aquatilis, H. midae, H. corrugata, H. fulgens, and H. rubra). Second, using the microsatellites we applied two types of individual assignment testing (the distance-based assignment and Bayesian model-based clustering) to individuals from the Pacific abalone species. A total of 24 microsatellites were subjected to PCR trials for nine Haliotis species, and the cross-species amplification performance of these markers turned out to drop precipitously even for less divergent congeners. Within the Pacific abalone species complex, four of the 24 markers were not transferable to H. gigantea, suggesting a solid genetic boundary between H. gigantea and H. discus hannai, H. discus discus, and H. madaka. Among the three latter abalones, both assignment tests achieved approximately 90% or more success rate of assignment. The feasibility of the microsatellite markers to classify species sheds light on the genetic management of the Pacific abalone species complex.",10.1007/s10592-006-9229-3,,1566-0621,1572-9737,,AUG,http://dx.doi.org/10.1007/s10592-006-9229-3,
"Butler, J; Neuman, M; Pinkard, D; Kvitek, R; Cochrane, G",The use of multibeam sonar mapping techniques to refine population estimates of the endangered white abalone (Haliotis sorenseni),2006,FISHERY BULLETIN,104,4,521,532,,"Multibeam sonar mapping techniques provide detailed benthic habitat information that can be combined with the data on species-specific habitat preferences to provide highly accurate calculations of populations in a particular area. The amount of suitable habitat available for the endangered white abalone (Haliotis sorenseni) was quantified to aid in obtaining an accurate estimate of the number of remaining individuals at two offshore banks and one island site off the coast of southern California. Habitat was mapped by using multibeam sonar survey techniques and categorized by using rugosity and topographic position analysis. Abalone densities were evaluated by using a remotely operated vehicle and video transect methods. The total amount of suitable habitat at these three sites was far greater than that previously estimated. Therefore, although present estimates of white abalone densities are several orders of magnitude lower than historic estimates, the total population is likely larger than previously reported because of the additional amount of habitat surveyed in this study.",,,0090-0656,,,OCT,,
"Treccani, L; Mann, K; Heinemann, F; Fritz, M","Perlwapin, an abalone nacre protein with three four-disulfide core (whey acidic protein) domains, inhibits the growth of calcium carbonate crystals",2006,BIOPHYSICAL JOURNAL,91,7,2601,2608,,"We have isolated a new protein from the nacreous layer of the shell of the sea snail Haliotis laevigata (abalone). Amino acid sequence analysis showed the protein to consist of 134 amino acids and to contain three sequence repeats of; 40 amino acids which were very similar to the well-known whey acidic protein domains of other proteins. The new protein was therefore named perlwapin. In addition to the major sequence, we identified several minor variants. Atomic force microscopy was used to explore the interaction of perlwapin with calcite crystals. Monomolecular layers of calcite crystals dissolve very slowly in deionized water and recrystallize in supersaturated calcium carbonate solution. When perlwapin was dissolved in the supersaturated calcium carbonate solution, growth of the crystal was inhibited immediately. Perlwapin molecules bound tightly to distinct step edges, preventing the crystal layers from growing. Using lower concentrations of perlwapin in a saturated calcium carbonate solution, we could distinguish native, active perlwapin molecules from denaturated ones. These observations showed that perlwapin can act as a growth inhibitor for calcium carbonate crystals in saturated calcium carbonate solution. The function of perlwapin in nacre growth may be to inhibit the growth of certain crystallographic planes in the mineral phase of the polymer/mineral composite nacre.",10.1529/biophysj.106.086108,"Heinemann, Fabian/0000-0002-9710-7351",0006-3495,1542-0086,,OCT,http://dx.doi.org/10.1529/biophysj.106.086108,16861275
"Viant, MR; Rosenblum, ES; Tjeerdema, RS",Optimized method for the determination of phosphoarginine in abalone tissue by high-performance liquid chromatography,2001,JOURNAL OF CHROMATOGRAPHY B,765,1,107,111,,"A rapid high-performance liquid chromatography method for the determination of phosphoarginine (PArg) in invertebrate tissue has been redeveloped and validated. The method employs a reversed-phase amino column and a KH2PO4-acetonitrile mobile phase. PArg peak identity was confirmed by comparison with a known standard and via enzymatic conversion. Additionally linear calibration data, low intra-assay variability (<4%), and a detection limit of 5 pmol were determined. The method was demonstrated using PArg extracted from red abalone (Haliotis rufescens) adductor muscle. Validation of the extraction procedure was also completed, including the measurement of a 100.2 +/-0.9% extraction efficiency. (C) 2001 Elsevier Science B.V. All rights reserved.",10.1016/S0378-4347(01)00428-5,"Viant, Mark/0000-0001-5898-4119",0378-4347,,,Dec-05,http://dx.doi.org/10.1016/S0378-4347(01)00428-5,11817304
"Trevelyan, GA; Mendoza, JL; Buckley, B","Increasing the yield of red abalone with the alga, Microcladia coulteri",1998,JOURNAL OF SHELLFISH RESEARCH,17,3,631,633,,"High growth rate is a key to viability in the abalone aquaculture industry, and an excellent diet is required to achieve it. A basic Macrocystis diet might be greatly improved by supplementing it with another algal species. We observed that the epiphytic red alga, Microcladia coulteri, was rapidly consumed by 8-16 mm abalone. The purpose of this study was to evaluate this alga for its ability to stimulate growth rate in juvenile abalone under production conditions. A pairwise design with eight cages and 33,000 8-mm abalone was used to compare a control Macrocystis diet with a Microcladia-supplemented diet over a 4-mo period. The supplemented cages gained weight 2.6 times as rapidly as did the controls. Shell growth and survival were significantly higher in the supplemented populations as well. Thus, the Microcladia had a pronounced effect on the yield.",,,0730-8000,1943-6319,,DEC,,
"Schaffer, TE; IonescuZanetti, C; Proksch, R; Fritz, M; Walters, DA; Almqvist, N; Zaremba, CM; Belcher, AM; Smith, BL; Stucky, GD; Morse, DE; Hansma, PK",Does abalone nacre form by heteroepitaxial nucleation or by growth through mineral bridges?,1997,CHEMISTRY OF MATERIALS,9,8,1731,1740,,"We present experimental support for a model of abalone nacre growth that is based on mineral bridges between successive aragonite tablets rather than on heteroepitaxial nucleation. Interlamellar sheets of organic polymers delineate the aragonite tablets but allow the tablets to grow mineral bridges through pores in the sheets. Atomic force microscope images of interlamellar organic sheets from flat pearls made by Haliotis rufescens (red abalone; marine gastropod mollusk) reveal a fibrous core and holes of 5-50 nm in diameter. Scanning ion conductance microscopy shows that these holes are actually pores through the interlamellar sheets. With the help of statistical analysis we can associate the pore-to-pore spacings in the interlamellar sheets with the observed offsets of successive nacre tablets. These results, supplemented by AFM, SEM, and TEM images, support and extend the model of biofabrication of gastropod nacre which is based on mineral bridges between the aragonite tablets.",10.1021/cm960429i,"Maddux, Bettye/0000-0001-5890-5249; Almqvist, Nils/0000-0003-1646-569X; Schaffer, Tilman/0000-0001-5643-8384",0897-4756,,,AUG,http://dx.doi.org/10.1021/cm960429i,
"AUSTIN, AP; RIDLEYTHOMAS, CI; LUCEY, WP; AUSTIN, DJD",EFFECTS OF NUTRIENT ENRICHMENT ON MARINE PERIPHYTON - IMPLICATIONS FOR ABALONE CULTURE,1990,BOTANICA MARINA,33,3,235,239,,"In an outdoor flow-through tank facility at a commercial abalone farm, marine periphyton were subjected to increased inorganic nitrate (N-NO3: 4.45), phosphate (P-PO4: 0.48), or N + P concentrations above ambient (1.15 and 0.16 mg l-1, respectively). After 39 days increased periphyton biomass occurred in N (13.2) and N + P (11.9) treatments, whilst control (4.6) and P (3.9 g m-2) were significantly lower. Periphyton ash free dry weight (AFDW) protein concentrations increased and AFDW lipid values decreased with enhanced N or N + P. Addition or P resulted in little change in either biomass or protein, however, lipid levels were lower. Mean growth rate of abalone (measured as shell length) in N enhanced treatments was 2 times that of control or P. It is suggested that enhancement of N leads to changes in periphyton which are beneficial for grazing by cultured juvenile abalone (Haliotis kamtschatkana Jones 1845).",10.1515/botm.1990.33.3.235,,0006-8055,1437-4323,,MAY,http://dx.doi.org/10.1515/botm.1990.33.3.235,
"SHEPHERD, SA",MOVEMENT OF THE SOUTHERN AUSTRALIAN ABALONE HALIOTIS-LAEVIGATA IN RELATION TO CREVICE ABUNDANCE,1986,AUSTRALIAN JOURNAL OF ECOLOGY,11,3,295,302,,"The long-term movement of the abalone Haliotis laevigata was measured at three sites in Waterloo Bay, South Australia, characterized by differing amounts of available crevice space. Movement was negligible at a site where crevices were abundant, but extensive at a site without cervice space. At a site of limited available crevice space, the amount of movement increased as available crevice space decreased. In addition, the extent of movement was size dependent and movement was oriented in the direction of the approaching swell. Current experimental designs for measuring natural mortality of abalone depend heavily on assumptions about their movement. An understanding of this behaviour is thus a prerequisite for designing experiments to measure the mortality rates of abalone or other sedentary animals. The natural mortality rate at one site was estimated to be 0.59 (s.e.m. = 0.02, i.e. survival = 56% per year) and the disappearance rate (natural mortality and emigration) was independent of sex.",10.1111/j.1442-9993.1986.tb01399.x,,0307-692X,,,SEP,http://dx.doi.org/10.1111/j.1442-9993.1986.tb01399.x,
"UKI, N; WATANABE, T",NUTRITIONAL-REQUIREMENTS OF ABALONE HALIOTIS (GASTROPODA) .5. EFFECT OF HEAT-TREATMENT OF DIETARY-PROTEIN SOURCES ON THEIR PROTEIN-QUALITY FOR ABALONE,1986,BULLETIN OF THE JAPANESE SOCIETY OF SCIENTIFIC FISHERIES,52,7,1199,1204,,,,,0021-5392,,,JUL,,
"UKI, N; KEMUYAMA, A; WATANABE, T",NUTRITIONAL-REQUIREMENTS OF ABALONE HALIOTIS (CASTROPODA) .3. OPTIMUM PROTEIN LEVEL IN DIETS FOR ABALONE,1986,BULLETIN OF THE JAPANESE SOCIETY OF SCIENTIFIC FISHERIES,52,6,1005,1012,,,,,0021-5392,,,JUN,,
"UKI, N; SUGIURA, M; WATANABE, T",DIETARY VALUE OF SEAWEEDS OCCURRING ON THE PACIFIC COAST OF TOHOKU FOR GROWTH OF THE ABALONE HALIOTIS-DISCUS-HANNAI,1986,BULLETIN OF THE JAPANESE SOCIETY OF SCIENTIFIC FISHERIES,52,2,257,266,,,,,0021-5392,,,FEB,,
"SHEPHERD, SA; HEARN, WS",STUDIES ON SOUTHERN AUSTRALIAN ABALONE (GENUS-HALIOTIS) .4. GROWTH OF HALIOTIS-LAEVIGATA AND HALIOTIS-RUBER,1983,AUSTRALIAN JOURNAL OF MARINE AND FRESHWATER RESEARCH,34,3,461,475,,"The growth of H. laevigata Donovan and H. ruber Leach was studied at several sites in south Australia by fitting the von Bertalanffy growth equation to growth data, supplemented by analysis of length-frequency distributions. Juvenile individuals of H. laevigata grow at an average of 0.9 mm/wk, reaching a length of about 40 mm in 1 yr at West Island; at Waterloo Bay H. laevigata can reach a length of 50 mm in the 1st yr. After the 1st yr, the annual growth coefficient (K) and the asymptotic length (L.infin.) for the 2 spp. at 3 sites are, respectively: H. laevigata.sbd.0.48/y and 138 mm (West I.); 0.41/yr and 131 mm (Tipara Reef); 0.59/yr and 148 mm (Waterloo Bay); H. ruber.sbd.0.34/yr and 139 mm (West I.); 0.32/yr and 143 mm (Tipara Reef); 0.41/yr and 144 mm (Waterloo Bay). There are also seasonal differences in growth rate between species and between sites. These differences as well as differences in the annual growth rate within a species between sites are associated predominantly with differences in the food supply. There is differential growth between the sexes of H. laevigata at Waterloo Bay, where females grow 25% faster than males and reach a larger size.",,,0067-1940,,,,,
"Wei, XH; Chen, N; Tang, B; Luo, X; You, WW; Ke, CH",Untargeted metabolomic analysis of the carotenoid-based orange coloration in Haliotis gigantea using GC-TOF-MS,2019,SCIENTIFIC REPORTS,9,,,,14545,"Seafood coloration is typically considered an indicator of quality and nutritional value by consumers. One such seafood is the Xishi abalone (Haliotis gigantea), which displays muscle color polymorphism wherein a small subset of individuals display orange coloration of muscles due to carotenoid enrichment. However, the metabolic basis for carotenoid accumulation has not been thoroughly investigated in marine mollusks. Here, GC-TOF-MS-based untargeted metabolite profiling was used to identify key pathways and metabolites involved in differential carotenoid accumulation in abalones with variable carotenoid contents. Cholesterol was the most statistically significant metabolite that differentiated abalones with orange muscles against those with common white muscles. This observation is likely due to the competitive interactions between cholesterol and carotenoids during cellular absorption. In addition, the accumulation of carotenoids was also related to fatty acid contents. Overall, this study indicates that metabolomics can reflect physiological changes in organisms and provides a useful framework for exploring the mechanisms underlying carotenoid accumulation in abalone types.",10.1038/s41598-019-51117-9,,2045-2322,,,Oct-10,http://dx.doi.org/10.1038/s41598-019-51117-9,31601972
"Shao, RW; Li, B; Han, QG; Han, ZW; Ren, LQ",Biomimetic laminated fiber-reinforced composites with a co-enhancement of strength and toughness,2024,CHEMICAL ENGINEERING JOURNAL,491,,,,152184,"The co-enhancement of strength and toughness (damage-tolerant) is an urgent demand for most fiber-reinforced materials. Unfortunately, these properties are generally mutually exclusive. Hence, it is highly desirable yet challenging to develop new fiber-reinforced structural materials with high strength and toughness. Herein, inspired by the dual-stage rigid-flexible coupling structures (RFCSs) of abalone shell, a biomimetic carbon fiber reinforced composite (BCFRC) was prepared using a method combing droplet-based additive manufacturing and infrared heating-assisted thermoforming. Remarkably, the BCFRC features a unique coordination of high strength (1204 MPa), high toughness (6.29 MJ.m(-3)), and high stiffness (104 GPa) in tensile tests, benefiting from the co-effect of energy dissipation of brick-and-mortar architected laminates (first-stage RFCS) and the resistance to stress concentration of resin matrix embedded with silanized particles (second-stage RFCS). This work highlights the potential of harnessing the rich designability of fiber prepreg and resin matrix to build high-performance fiber-reinforced materials with bioinspired complex architectures.",10.1016/j.cej.2024.152184,"Li, Bo/0000-0002-4839-3224",1385-8947,1873-3212,,Jul-01,http://dx.doi.org/10.1016/j.cej.2024.152184,
"Nguyen, TV; Alfaro, AC",Targeted metabolomics to investigate antimicrobial activity of itaconic acid in marine molluscs,2019,METABOLOMICS,15,7,,,97,"IntroductionItaconic acid (ITA) has recently been identified as an antimicrobial metabolite in mammalian immune cells. The presence of ITA was alsoreported in different tissues of marine molluscs, indicating its role as an endogenous metabolite of molluscs. In addition, the accumulation of ITA has been observed in different tissues of mussels following pathogen challenges. However, the concentration of ITA in mussel tissues and the possible role of this metabolite in the molluscan innate immune system remain unknown.ObjectivesThis study aims to quantitatively measure ITA levels in different tissues of marine mussels following an experimental challenge with Vibrio sp. DO1 isolate, and to identify the antimicrobial role of ITA in the innate immune system through the measurement of metabolic and immune alterations in tissues following the challenge.MethodsIn this study, adult Perna canaliculus mussels were experimentally challenged with a pathogenic Vibrio sp. DO1 isolate. The metabolite profiles of five different tissues, including mantle, gill, muscle, hepatopancreas and haemolymph were obtained, and levels of ITA in each tissue were characterized using a gas chromatography-mass spectrometry (GC-MS) metabolomics approach. Flow cytometry was also employed to measure cell health parameters, including oxidative stress via reactive oxygen species (ROS) production, apoptosis via changes in mitochondrial membrane potential (MMP) and haemocyte viability.ResultsThe ITA levels in mantle, gill, muscle and hepatopancreas tissues at 18-h post infection (hpi) with Vibrio sp. were 40.31, 41.71, 11.61 and 41.66ngmg(-1), respectively. In haemolymph, the level of ITA was significantly increased from 95.25ngml(-1) at 6 hpi to 174.36ngml(-1) at 18hpi and 572.12ngml(-1) at 60hpi. In line with the accumulation of ITA, we observed increased levels of metabolites within the tricarboxylic acid (TCA) cycle, anti-inflammatory metabolites and alterations of other metabolites associated with immune responses of the host. The flow cytometry analyses revealed increases in ROS production, apoptotic cells and decreases in cell viability.ConclusionsWe reported on the production of ITA in different tissues of P. canaliculus mussels challenged with a marine pathogen which confirmed ITA as an antimicrobial metabolite. The findings revealed insights into the biosynthesis of ITA and suggests its role in antimicrobial and anti-inflammatory activities in the innate immune system. This study also provided insights into the innate immune system of bivalves and highlighted the potential use of ITA as a biomarker for shellfish health assessment in aquaculture.",10.1007/s11306-019-1556-8,"Nguyen, Van Thao/0000-0003-3776-5392; Alfaro, Andrea C./0000-0003-0543-7212",1573-3882,1573-3890,,JUL,http://dx.doi.org/10.1007/s11306-019-1556-8,31230148
"Zimmer, RK; Riffell, JA","Sperm chemotaxis, fluid shear, and the evolution of sexual reproduction",2011,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,108,32,13200,13205,,"Chemical communication is fundamental to sexual reproduction, but how sperm search for and find an egg remains enigmatic. For red abalone (Haliotis rufescens), a large marine snail, the relationship between chemical signaling and fluid motion largely determines fertilization success. Egg-derived attractant plumes are dynamic, changing their size and shape in response to unique combinations of physical and chemical environmental features. Attractant plumes that promote sexual reproduction, however, are limited to a precise set of hydrodynamic conditions. Performance-maximizing shears are those that most closely match flows in native spawning habitats. Under conditions in which reproductive success is chronically limited by sperm availability, gametes are under selection for mechanisms that increase sperm-egg encounter. Here, chemoattraction is found to provide a cheap evolutionary alternative for enhancing egg target size without enlarging cytoplasmic and/or cell volume. Because egg signaling and sperm response may be tuned to meet specific fluid-dynamic constraints, shear could act as a critical selective pressure that drives gamete evolution and determines fitness.",10.1073/pnas.1018666108,,0027-8424,,,Aug-09,http://dx.doi.org/10.1073/pnas.1018666108,21788487
"Lee, SG; Sakib, MH; Rahman, MA",Environmental and socio-economic benefits of integrated fisheries management in Korea,2020,JOURNAL OF ENVIRONMENTAL BIOLOGY,41,5,1390,1398,,"Aim: Seasonal closure was integrated with fisheries stock rebuilding plans (FSRP) to observe the changes in productivity and socio-economic status of fishery sector. Methodology: Ten commercial species namely sandfish, blue crab, octopus, tokobushi abalone, skate ray, cod, yellow croaker, filefish, Korean flounder and purplish Washington clam were considered from FSRP to conduct this study. Closed season was incorporated with FSRP in terms of sandfish, blue crab, octopus, skate ray and yellow croaker fishery. Year-round open fishery was applied for other five species (viz., tokobushi abalone, cod, filefish, Korean flounder and purplish Washington clam) in FSRP. Annual fish landing data were collected from 1991 to 2016. Changing patterns in catch history, revenue and social status were evaluated. Results: Due to achieve enough time to breed and feed during seasonal closure, the production was increased dramatically in five marine species, sandfish, blue crab, octopus, skate ray, and yellow croaker. Besides, 86% increased revenue was earned from the integrated policy. Livelihood improved during the last 10 years of FSRP. Interpretation: Mixed catch, economic loss of fishermen and biology of species are the key factors for continuing integrated fisheries management policy successfully.",10.22438/jeb/41/5(SI)/MS_33,,0254-8704,2394-0379,,SEP,http://dx.doi.org/10.22438/jeb/41/5(SI)/MS_33,
"Foster, S; Maher, W; Krikowa, F",Changes in proportions of arsenic species within an Ecklonia radiata food chain,2008,ENVIRONMENTAL CHEMISTRY,5,3,176,183,,"Total arsenic and arsenic species in the tissues of three growth stages of the macroalgae Ecklonia radiata and within organisms that feed on it are reported. Arsenic concentrations in E. radiata tissues varied from 40 to 153 mu g g(-1). Growth stage did not influence arsenic concentrations or arsenic species. E. radiata contained glycerol arsenoriboside (1-8.5%), phosphate arsenoriboside (10-22%) and sulfonate arsenoriboside (73-91%). Arsenic concentrations varied significantly among animal species and between tissues (5-123 mu g g(-1)). Animals contained variable quantities of arsenobetaine (14-83%). Haliotis rubra tissues contained high concentrations of glycerol trimethylarsonioriboside (0.7-22%) and the fish Odax cyanomelas contained large quantities of phosphate arsenoriboside (25-64%) with little arsenobetaine (1.5-15%). Arsenoribosides consumed from macroalgae are substantially converted or differentially accumulated as glycerol and phosphate arsenoribosides in animal tissues. In all animals, phosphate arsenoriboside would appear to be conserved or synthesised de novo. In gastropods, glycerol trimethylarsonioriboside and thio arsenic species are formed in the digestive system. Thus, the intermediate arsenic species that form a plausible pathway for the formation of arsenobetaine from dimethylarsenoribosides are present.",10.1071/EN07063,"Foster, Simon/0000-0002-9136-3215; Krikowa, Frank/0000-0002-2511-9548; Maher, William A./0000-0001-7564-3383",1448-2517,1449-8979,,,http://dx.doi.org/10.1071/EN07063,
"Mahajan, B; Singh, V",RECENT TRENDS IN PROBIOTICS AND HEALTH MANAGEMENT: A REVIEW,2014,INTERNATIONAL JOURNAL OF PHARMACEUTICAL SCIENCES AND RESEARCH,5,5,1643,1652,,"Probiotics are defined as Live microorganisms which when administered in sufficient amounts confer a health benefit to the host. They are consumed as microbial food supplements. The mechanism of action of probiotics is associated with their ability to enhance immune response, compete with pathogenic microbes for adhesion sites, to antagonize these pathogens and production of antimicrobial substances. Immunomodulatory effect of probiotics can be explained by molecular and proteomic studies. Health benefits of probiotics includes prevention and treatment of various health conditions and diseases such as gastrointestinal disorders, lactose intolerance, irritable bowel syndrome, inflammatory bowel disease, Necrotising colitis, allergies, urogenital infections, various cancers, Arthritis, AIDS, Upper respiratory infections, oral health such as prevention of dental caries, periodontal diseases and haliotis as well as many other effects which are under exploration. The result of several clinical investigations proposes that probiotics may exert beneficial effect in preventing and treating various diseases to manage human health. Though, many of this clinical research needed validation to provide results for clinical regime. This review illustrates the health benefits of probiotics in various diseases and their possible mechanism and also highlights current challenges for future studies.",10.13040/IJPSR.0975-8232.5(5).1643-52,,0975-8232,,,MAY,http://dx.doi.org/10.13040/IJPSR.0975-8232.5(5).1643-52,
"Hodin, J; Ferner, MC; Gaylord, B",Choosing the right home: settlement responses by larvae of six sea urchin species align with hydrodynamic traits of their contrasting adult habitats,2020,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,190,2,737,756,,"Ocean organisms as diverse as seaweeds and sea cucumbers exhibit life cycles in which dispersal occurs primarily via microscopic larvae or spores, with adults exhibiting limited or even no dispersal. In benthic animals, the larval stage concludes with irreversible settlement into the benthos. The decision of where and when to settle is thus one of substantial import. Prior work has shown that settlement in two shoreline echinoids (a sea urchin and a sand dollar) is unexpectedly sensitive to an environmental feature (intense fluid turbulence) that can be considered as a signal to larvae of their arrival in the neighbourhood of the hydrodynamically energetic habitats in which these taxa live as adults. Here, we used a comparative approach to explore the evolution of turbulence responsiveness in late-stage echinoid larvae. We examined three pairs of closely related sea urchins that differ in the energetic exposure of their adult habitats and found that larval responsiveness to turbulence was more pronounced in urchins that settle in more hydrodynamically exposed locations. These results raise the possibility that evolutionary differences in larval responsiveness to environmental indicators of appropriate adult habitat might reinforce or even provide a mechanism for vicariance in the ocean.",10.1093/zoolinnean/zlz149,"Ferner, Matthew/0000-0002-4862-9663",0024-4082,1096-3642,,OCT,http://dx.doi.org/10.1093/zoolinnean/zlz149,
